TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220171,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",25,12,15,3,1,0,0,0,0,0,0,0,0,0,0,4,"Barnes, Natasha B.",,,60
220178,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",11,19,19,3,1,0,0,0,0,0,0,0,0,0,0,3,"Jabir, Johari",,,56
220181,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",26,17,13,2,0,0,0,0,0,0,0,0,0,0,0,2,"Barnes, Natasha B.",,,60
220188,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",25,24,12,0,5,0,0,0,0,0,0,0,0,0,0,4,"Rhodes, Jane",,,70
220191,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",19,32,5,1,1,0,0,0,0,0,0,0,0,0,0,2,"Ransby, Barbara",,,60
220198,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",10,25,22,2,1,0,0,0,0,0,0,0,0,0,0,7,"Jabir, Johari",,,67
220201,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",15,24,13,5,5,0,0,0,0,0,0,0,0,0,0,2,"Rhodes, Jane",,,64
220181,AAST,"African American Studies",101,"Intro to African Diaspora",FT,"Liberal Arts & Sciences",2363,"Black Studies",0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,"Jackson, Lynette A.",,,30
220191,AAST,"African American Studies",101,"Intro to African Diaspora",FT,"Liberal Arts & Sciences",2363,"Black Studies",22,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"LaMothe, Mario Jacques",,,30
220201,AAST,"African American Studies",101,"Intro to African Diaspora",FT,"Liberal Arts & Sciences",2363,"Black Studies",14,6,2,1,4,0,0,0,0,0,0,0,0,0,0,2,"LaMothe, Mario Jacques",,,29
220171,AAST,"African American Studies",103,"African Amer Politics&Culture",FT,"Liberal Arts & Sciences",2363,"Black Studies",3,6,2,0,0,0,0,0,0,0,1,0,0,0,0,1,"Johnson, Cedric",,,13
220181,AAST,"African American Studies",103,"African Amer Politics&Culture",FT,"Liberal Arts & Sciences",2363,"Black Studies",8,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Johnson, Cedric",,,16
220191,AAST,"African American Studies",103,"African Amer Politics&Culture",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Johnson, Cedric",,,18
220171,AAST,"African American Studies",104,"African Americans & Education",FT,"Liberal Arts & Sciences",2363,"Black Studies",13,6,5,0,0,0,0,0,3,0,0,0,0,0,0,1,"Stovall, David O",,,28
