TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220108,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",21,28,12,9,4,0,0,0,4,0,3,0,0,0,0,4,"Jabir, Johari",,,85
220108,AAST,"African American Studies",103,"African Amer Politics&Culture",FT,"Liberal Arts & Sciences",2363,"Black Studies",11,11,3,1,0,0,0,0,0,0,3,0,0,0,0,1,"Bevel, Sherrilynn",,,30
220108,AAST,"African American Studies",110,"Intro Af Amer Lit, 1760-1910",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,11,4,0,1,0,0,0,0,0,0,0,0,0,0,1,"Lamm, Zachary N",,,21
220108,AAST,"African American Studies",203,"African Amer Family in U.S.",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,"Mock, Lynne",,,15
220108,AAST,"African American Studies",225,"Racial and Ethnic Groups",FT,"Liberal Arts & Sciences",2772,Sociology,2,6,4,0,3,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,16
220108,AAST,"African American Studies",229,"Africa and its Diasporas",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,3,4,1,0,0,0,0,1,0,0,0,0,0,0,2,"Jackson, Lynette A.",,,16
220108,AAST,"African American Studies",247,"African American Hist to 1877",FT,"Liberal Arts & Sciences",2363,"Black Studies",6,15,1,0,0,0,0,0,0,0,2,0,0,0,0,0,"Grad Asst",,,24
220108,AAST,"African American Studies",265,"The Harlem Renaissance",FT,"Liberal Arts & Sciences",2363,"Black Studies",2,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Clarke, Ainsworth A.",,,11
220108,AAST,"African American Studies",271,"Afr Amer & Politcs Incarceratn",FT,"Liberal Arts & Sciences",2363,"Black Studies",16,16,1,0,1,0,0,0,0,0,2,0,0,0,0,1,"Jun, Helen Heran",,,37
220108,AAST,"African American Studies",272,"Race, Gender, and Sexuality",FT,"Liberal Arts & Sciences",2363,"Black Studies",2,10,2,0,2,0,0,0,0,0,0,0,0,0,0,2,"Lamm, Zachary N",,,18
220108,AAST,"African American Studies",340,"Adv Interdisc Sem in AAST",FT,"Liberal Arts & Sciences",2363,"Black Studies",7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jabir, Johari",,,12
220108,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,46,76,91,37,11,0,0,0,2,0,0,0,0,0,0,28,"Li, Siyi",,,291
220108,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,38,64,69,23,10,0,0,0,0,0,0,0,0,0,0,11,"Mashruwala, Raj",,,215
220108,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,11,21,40,4,15,0,0,0,2,0,0,0,0,0,0,11,"Leventhal, Brian W",,,104
220108,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,6,8,30,8,5,0,0,0,0,0,0,0,0,0,0,0,"Leventhal, Brian W",,,57
220108,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,15,28,23,2,1,0,0,0,0,0,0,0,0,0,0,6,"Lee, Sung-Han",,,75
220108,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,48,49,15,4,0,0,0,0,1,0,0,0,0,0,0,1,"Roe, Helen M",,,118
220108,ACTG,Accounting,417,"Adv Financial Accounting",FL,"Business Administration",2656,Accounting,14,12,8,3,2,0,0,0,0,0,0,0,0,0,0,3,"Salama, Yehia A.",,,42
220108,ACTG,Accounting,435,Auditing,FL,"Business Administration",2656,Accounting,20,33,25,0,0,0,0,0,1,0,0,0,0,0,0,3,"Galvan, Abel",,,82
220108,ACTG,Accounting,445,"Federal Income Tax I",FL,"Business Administration",2656,Accounting,17,20,40,2,0,0,0,0,0,0,0,0,0,0,0,0,"Hong, Keejae P",,,79
220108,ACTG,Accounting,446,"Federal Income Tax II",FL,"Business Administration",2656,Accounting,11,14,8,1,0,0,0,0,0,0,0,0,0,0,0,7,"Melevin, Tim L",,,41
220108,ACTG,Accounting,456,"Business Law II",FL,"Business Administration",2656,Accounting,14,10,6,1,1,0,0,0,0,0,0,0,0,0,0,0,"Roe, George",,,32
220108,ACTG,Accounting,456,"Business Law II",FL,"Business Administration",2656,Accounting,34,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Roe, Helen M",,,44
220108,ACTG,Accounting,465,"Govt & Non-Profit Actg",FL,"Business Administration",2656,Accounting,8,18,7,1,0,0,0,0,0,0,0,0,0,0,0,1,"Kemp, Robert E",,,35
220108,ACTG,Accounting,474,"Actg Information Systems",FL,"Business Administration",2656,Accounting,13,10,1,0,0,0,0,0,2,0,0,0,0,0,0,0,"Goodman, Charles Joseph",,,26
220108,ACTG,Accounting,474,"Actg Information Systems",FL,"Business Administration",2656,Accounting,17,50,8,1,0,0,0,0,1,0,0,0,0,0,0,1,"Popowits, Michael T",,,78
220108,ACTG,Accounting,475,"Database Accounting Systems",FL,"Business Administration",2656,Accounting,23,21,6,4,1,0,0,0,1,0,0,0,0,0,0,0,"Popowits, Michael T",,,56
220108,ACTG,Accounting,484,"International Accounting",FL,"Business Administration",2656,Accounting,17,13,9,3,0,0,0,0,0,0,0,0,0,0,0,3,"Salama, Yehia A.",,,45
220108,ACTG,Accounting,494,"Ethics for Business Profession",FL,"Business Administration",2656,Accounting,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"Roe, George",,,14
220108,ACTG,Accounting,494,"Professional Presence",FL,"Business Administration",2656,Accounting,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Popowits, Michael T",,,22
220108,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,"Salama, Yehia A.",,,46
220108,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Leventhal, Brian W",,,13
220108,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,13,13,6,0,0,0,0,0,0,0,0,0,0,0,0,1,"Wen, Xiaoyan",,,33
220108,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,33,27,5,0,1,0,0,0,0,0,0,0,0,0,0,0,"Galvan, Abel",,,66
220108,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,39,78,10,0,0,0,0,0,0,0,0,0,0,0,0,1,"Pandit, Shailendra",,,128
220108,ACTG,Accounting,502,"Financial Accounting I",FL,"Business Administration",2656,Accounting,10,14,1,0,0,0,0,0,0,0,0,0,0,0,0,3,"Kirschenheiter, Michael",,,28
220108,ACTG,Accounting,503,"Financial Accounting II",FL,"Business Administration",2656,Accounting,5,5,3,1,2,0,0,0,0,0,0,0,0,0,0,3,"Salama, Yehia A.",,,19
220108,ACTG,Accounting,506,"Management Accounting",FL,"Business Administration",2656,Accounting,27,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Lee, Sung-Han",,,39
