TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220158,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",27,20,4,1,5,0,0,0,0,0,0,0,0,0,0,1,"Barnes, Natasha B.",,,58
220158,AAST,"African American Studies",110,"Intro Af Amer Lit, 1760-1910",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,7,8,1,2,0,0,0,0,0,0,0,0,0,0,0,"Dubey, Madhu",,,23
220158,AAST,"African American Studies",229,"Africa and its Diasporas",FT,"Liberal Arts & Sciences",2363,"Black Studies",7,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"Jackson, Lynette A.",,,21
220158,AAST,"African American Studies",247,"African American Hist to 1877",FT,"Liberal Arts & Sciences",2363,"Black Studies",10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,19
220158,AAST,"African American Studies",249,"Black Freedom Movements",FT,"Liberal Arts & Sciences",2363,"Black Studies",2,15,1,0,2,0,0,0,1,0,0,0,0,0,0,1,"Rhodes, Jane",,,22
220158,AAST,"African American Studies",258,"Race and Urban Life",FT,"Liberal Arts & Sciences",2363,"Black Studies",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,"James, Kevin Lamarr",,,14
220158,AAST,"African American Studies",262,"Black Cultural Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",5,13,3,1,0,0,0,0,1,0,0,0,0,0,0,1,"Jabir, Johari",,,24
220158,AAST,"African American Studies",264,"African American Art",FR,"Architecture,Design,& the Arts",2910,"Art History",2,7,5,0,3,0,0,0,0,0,1,0,0,0,0,1,"Grad Asst",,,19
220158,AAST,"African American Studies",265,"The Harlem Renaissance",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Clarke, Ainsworth A.",,,11
220158,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,9,11,20,11,6,0,0,0,0,0,0,0,0,0,0,1,"Thomas, Barbara Ann",,,58
220158,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,9,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chen, Jason Victor",,,34
220158,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,40,59,99,26,16,0,0,0,0,0,0,0,0,0,0,45,"Galvan, Abel",,,285
220158,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,25,47,77,42,16,0,0,0,0,0,0,0,0,0,0,10,"Salama, Yehia A.",,,217
220158,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,26,40,37,8,7,0,0,0,0,0,0,0,0,0,0,9,"Kirschenheiter, Michael",,,127
220158,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,8,16,33,20,6,0,0,0,0,0,0,0,0,0,0,1,"Pandit, Shailendra",,,84
220158,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,12,38,35,6,4,0,0,0,0,0,0,0,0,0,0,1,"Salama, Yehia A.",,,96
220158,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,50,20,11,2,0,0,0,0,0,0,0,0,0,0,0,2,"Marutzky, Eileen",,,85
220158,ACTG,Accounting,417,"Adv Financial Accounting",FL,"Business Administration",2656,Accounting,12,14,2,1,0,0,0,0,0,0,0,0,0,0,0,1,"Chen, Gary",,,30
220158,ACTG,Accounting,435,Auditing,FL,"Business Administration",2656,Accounting,18,48,17,5,0,0,0,0,0,0,0,0,0,0,0,0,"Judd, Joshua Scott",,,88
220158,ACTG,Accounting,445,"Federal Income Tax I",FL,"Business Administration",2656,Accounting,39,19,6,0,1,0,0,0,0,0,0,0,0,0,0,0,"Kolpien, Jennifer E",,,65
220158,ACTG,Accounting,446,"Federal Income Tax II",FL,"Business Administration",2656,Accounting,7,16,12,1,0,0,0,0,1,0,0,0,0,0,0,1,"Keesee, Timothy C",,,38
220158,ACTG,Accounting,456,"Business Law II",FL,"Business Administration",2656,Accounting,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blessen, Richard Phillip",,,14
220158,ACTG,Accounting,465,"Govt & Non-Profit Actg",FL,"Business Administration",2656,Accounting,12,16,7,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kemp, Robert E",,,36
220158,ACTG,Accounting,470,"Ethical Environment Business",FL,"Business Administration",2656,Accounting,37,39,8,5,1,0,0,0,0,0,0,0,0,0,0,0,"Roe, George",,,90
220158,ACTG,Accounting,474,"Actg Information Systems",FL,"Business Administration",2656,Accounting,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Popowits, Michael T",,,22
220158,ACTG,Accounting,474,"Actg Information Systems",FL,"Business Administration",2656,Accounting,37,30,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"Jastrzebski, Ronald J",,,75
220158,ACTG,Accounting,475,"Database Accounting Systems",FL,"Business Administration",2656,Accounting,3,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,"Chen, Jason Victor",,,11
220158,ACTG,Accounting,484,"International Accounting",FL,"Business Administration",2656,Accounting,8,15,15,4,1,0,0,0,0,0,0,0,0,0,0,0,"Zhong, Rong",,,43
220158,ACTG,Accounting,493,"Actg Cases Research & Analysis",FL,"Business Administration",2656,Accounting,20,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Li, Siyi",,,64
220158,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pandit, Shailendra",,,18
220158,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kirschenheiter, Michael",,,18
220158,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,14,18,5,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kemp, Robert E",,,38
220158,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,31,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Goodman, Charles Joseph",,,49
220158,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,48,61,27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balachandran, Sudhakar V",,,136
220158,ACTG,Accounting,502,"Financial Accounting I",FL,"Business Administration",2656,Accounting,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kirschenheiter, Michael",,,33
220158,ACTG,Accounting,503,"Financial Accounting II",FL,"Business Administration",2656,Accounting,6,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Galvan, Abel",,,16
220158,ACTG,Accounting,506,"Management Accounting",FL,"Business Administration",2656,Accounting,8,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,"Das, Somnath",,,20
220158,ACTG,Accounting,508,"Federal Income Tax-Grad",FL,"Business Administration",2656,Accounting,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kohorst, Chad",,,18
220158,ACTG,Accounting,516,"Financial Statement Analysis",FL,"Business Administration",2656,Accounting,31,20,0,0,0,0,0,0,0,0,2,0,0,0,0,1,"Ramakrishnan, Ram T S",,,54
220158,ACTG,Accounting,525,"Mgmt Control/Strateg Performnc",FL,"Business Administration",2656,Accounting,6,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,"Balachandran, Sudhakar V",,,18
220158,ACTG,Accounting,534,Auditing-Graduate,FL,"Business Administration",2656,Accounting,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Judd, Joshua Scott",,,18
220158,ACTG,Accounting,585,"Corporate Valuation &Actg Info",FL,"Business Administration",2656,Accounting,15,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kirschenheiter, Michael",,,34
220158,ACTG,Accounting,593,"Actg Res Method&Communicatn",FL,"Business Administration",2656,Accounting,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chen, Gary",,,22
220158,ACTG,Accounting,594,"SP Topic: Internal Auditing",FL,"Business Administration",2656,Accounting,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mc Donagh, Eamonn Michael",,,17
220158,AH,"Art History",100,"Intro to Art &Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",30,15,12,6,3,0,0,0,0,0,0,0,0,0,0,3,"Grad Asst",,,69
220158,AH,"Art History",100,"Intro to Art &Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",50,64,5,3,3,0,0,0,0,0,0,0,0,0,0,5,"Archias, S Elise","Stimson, Blake",,130
220158,AH,"Art History",110,"Art History I",FR,"Architecture,Design,& the Arts",2910,"Art History",70,82,52,14,16,0,0,0,0,0,0,0,0,0,0,11,"Harmansah, Omur",,,245
220158,AH,"Art History",130,"Photography in History",FR,"Architecture,Design,& the Arts",2910,"Art History",15,15,3,1,1,0,0,0,1,0,0,0,0,0,0,0,"Grad Asst",,,36
220158,AH,"Art History",160,"Trends in Contemp Art",FR,"Architecture,Design,& the Arts",2910,"Art History",13,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"Archias, S Elise",,,33
220158,AH,"Art History",180,"Intro to Museum & Exhibition",FR,"Architecture,Design,& the Arts",2910,"Art History",11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Locks, Damon",,,16
220158,AH,"Art History",204,"Greek Art & Archaeology",FT,"Liberal Arts & Sciences",2349,"Classics & Mediterran Studies",5,10,4,0,1,0,0,0,0,0,0,0,0,0,0,1,"Tobin, Jennifer L",,,21
220158,AH,"Art History",210,"Art/Archaeology of Egypt",FT,"Liberal Arts & Sciences",2349,"Classics & Mediterran Studies",8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Tobin, Jennifer L",,,11
220158,AH,"Art History",232,"Film History I: 1890-WWII",FT,"Liberal Arts & Sciences",2492,English,3,8,3,1,0,0,0,0,0,0,0,0,0,0,0,1,"Rubin, Martin L.","Grad Asst",,16
220158,AH,"Art History",235,"History of Design I",FR,"Architecture,Design,& the Arts",2910,"Art History",1,12,9,2,2,0,0,0,0,0,0,0,0,0,0,3,"Mekinda, Jonathan",,,29
220158,AH,"Art History",264,"African American Art",FR,"Architecture,Design,& the Arts",2910,"Art History",3,4,6,1,1,0,0,0,0,0,1,0,0,0,0,1,"Grad Asst",,,17
220158,AH,"Art History",271,"Native American Art",FR,"Architecture,Design,& the Arts",2910,"Art History",3,8,4,0,3,0,0,0,0,0,0,0,0,0,0,3,"Grad Asst",,,21
220158,AH,"Art History",301,"Theory&Method/Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",7,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,"Archias, S Elise",,,13
220158,AH,"Art History",460,"Topics in Modern & Contemp Art",FR,"Architecture,Design,& the Arts",2910,"Art History",5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Dubin, Nina",,,11
220158,AH,"Art History",510,"Methods in Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Pollak, Martha",,,10
220158,AH,"Art History",532,"Museum Collections",FR,"Architecture,Design,& the Arts",2910,"Art History",12,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Barcliff Baptista, Lori Danielle",,,15
220158,AH,"Art History",543,"Writing for Exhibitions",FR,"Architecture,Design,& the Arts",2910,"Art History",13,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Ise, Claudine",,,17
220158,AH,"Art History",545,"Museum Genres, Pract and Inst",FR,"Architecture,Design,& the Arts",2910,"Art History",15,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Quinn, Therese Maura",,,20
220158,AH,"Art History",561,"Sem Contemporary Arch  & Art",FR,"Architecture,Design,& the Arts",2910,"Art History",11,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Lee, Lisa Yun","Stimson, Blake",,14
220158,AH,"Art History",599,"Dissertation Research",FR,"Architecture,Design,& the Arts",2910,"Art History",0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,"Dubin, Nina",,,19
220158,AHS,"Applied Health Sciences",101,"Experiential Learning I",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,"John, Demetra",,,36
220158,AHS,"Applied Health Sciences",511,"Biostatistics I",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Howell, Steven M",,,19
220158,ANAT,"Anatomy and Cell Biology",441,"Gross Human Anatomy",FZ,"Coll Medicine at Chicago - BS",2387,"Anatomy and Cell Biology",27,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Cotanche, Douglas A","Klopp, Emily",,42
220158,ANTH,Anthropology,100,"Human Adventure",FT,"Liberal Arts & Sciences",2841,Anthropology,41,69,64,23,25,0,0,0,0,0,0,0,0,0,0,39,"Bauer, Brian S",,,261
220158,ANTH,Anthropology,101,"World Cultures",FT,"Liberal Arts & Sciences",2841,Anthropology,68,157,85,13,9,0,0,0,0,0,0,0,0,0,0,20,"Monaghan, John",,,352
220158,ANTH,Anthropology,102,"Intro to Archaeology",FT,"Liberal Arts & Sciences",2841,Anthropology,21,58,95,26,11,0,0,0,1,0,0,0,0,0,0,4,"Hendrickson, Mitchel J",,,216
220158,ANTH,Anthropology,105,"Human Evolution",FT,"Liberal Arts & Sciences",2841,Anthropology,39,131,52,9,2,0,0,0,1,0,0,0,0,0,0,10,"Grad Asst",,,244
220158,ANTH,Anthropology,200,"Social and Cultural Theory",FT,"Liberal Arts & Sciences",2841,Anthropology,8,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,"Peregrine Antalis, Erin J",,,17
220158,ANTH,Anthropology,223,"Southwestern Archaeology",FT,"Liberal Arts & Sciences",2841,Anthropology,6,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"LaMotta, Vincent",,,21
220158,ANTH,Anthropology,227,"Anc Civ Mex and Cent Amer",FT,"Liberal Arts & Sciences",2841,Anthropology,9,6,1,0,1,0,0,0,1,0,0,0,0,0,0,2,"Palka, Joel W",,,20
220158,ANTH,Anthropology,231,"Fossil Humans",FT,"Liberal Arts & Sciences",2841,Anthropology,30,3,2,0,3,0,0,0,2,0,0,0,0,0,0,4,"Prost, Jack H",,,44
220158,ANTH,Anthropology,234,"Modern Human Variation",FT,"Liberal Arts & Sciences",2841,Anthropology,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Prost, Jack H",,,18
220158,ANTH,Anthropology,256,"Euro-Indigen LatAmer Contact",FT,"Liberal Arts & Sciences",2988,"Latin American &Latino Studies",9,5,4,0,1,0,0,0,0,0,0,0,0,0,0,2,"Palka, Joel W",,,21
220158,ANTH,Anthropology,274,"Ethnography of Africa",FT,"Liberal Arts & Sciences",2841,Anthropology,3,7,2,0,0,0,0,0,1,0,0,0,0,0,0,4,"Roosevelt, Anna C",,,17
220158,ANTH,Anthropology,276,"Pacific Island Cultures",FT,"Liberal Arts & Sciences",2841,Anthropology,12,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,"Junker, Laura Lee",,,22
220158,ANTH,Anthropology,309,"Writing Culture",FT,"Liberal Arts & Sciences",2841,Anthropology,10,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Grad Asst",,,15
220158,ANTH,Anthropology,312,"Youth Culture",FT,"Liberal Arts & Sciences",2841,Anthropology,4,10,5,1,3,0,0,0,0,0,0,0,0,0,0,0,"Grad Asst",,,23
220158,ANTH,Anthropology,314,"Anthropology of Food",FT,"Liberal Arts & Sciences",2841,Anthropology,10,8,2,1,0,0,0,0,0,0,0,0,0,0,0,2,"Doane, Molly",,,23
220158,ARAB,Arabic,101,"Elementary Arabic I",FT,"Liberal Arts & Sciences",2349,"Classics & Mediterran Studies",57,14,5,0,0,0,0,0,0,0,1,0,0,0,0,6,"Babiker, Mariam",,,83
220158,ARAB,Arabic,103,"Intermediate Arabic I",FT,"Liberal Arts & Sciences",2349,"Classics & Mediterran Studies",61,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"Kamal, Mustapha",,,67
220158,ARAB,Arabic,201,"Advanced Literary Arabic",FT,"Liberal Arts & Sciences",2349,"Classics & Mediterran Studies",19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,"Kamal, Mustapha",,,22
220158,ARCH,Architecture,105,"Architectural Studio 1",FR,"Architecture,Design,& the Arts",2911,"School of Architecture",23,40,20,8,5,0,0,0,1,0,0,0,0,0,0,6,"Preissner, Paul","Nash, Maya V","Torres, Antonio",103
220158,ARCH,Architecture,200,"Architecture and Society",FR,"Architecture,Design,& the Arts",2911,"School of Architecture",10,19,21,5,2,0,0,1,0,0,0,0,0,0,0,9,"Ahmed, Zehra Syed",,,67
220158,ARCH,Architecture,205,"Architectural Studio 3",FR,"Architecture,Design,& the Arts",2911,"School of Architecture",10,16,17,4,0,0,0,0,1,0,0,0,0,0,0,2,"Palider, Ryan","Venckunaite, Aurelija","Capomaggi, Maria Julia",50
220158,ARCH,Architecture,251,"Arch Analysis",FR,"Architecture,Design,& the Arts",2911,"School of Architecture",35,13,5,6,3,0,0,0,0,0,0,0,0,0,0,1,"Hicks, Stewart Roger",,,63
