TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220101,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",33,27,6,1,5,0,0,0,0,0,1,0,0,0,0,7,"Blair, Cynthia M",,,80
220101,AAST,"African American Studies",104,"African Americans & Education",FT,"Liberal Arts & Sciences",2363,"Black Studies",6,12,1,0,0,0,0,0,5,0,0,0,0,0,0,0,"Stovall, David O",,,24
220101,AAST,"African American Studies",111,"Intro Af Amer Lit Since 1910",FT,"Liberal Arts & Sciences",2363,"Black Studies",12,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jun, Helen Heran",,,28
220101,AAST,"African American Studies",120,"African Amer Religious Trad",FT,"Liberal Arts & Sciences",2363,"Black Studies",12,14,1,0,0,0,0,0,0,0,0,0,0,0,0,3,"Jabir, Johari",,,30
220101,AAST,"African American Studies",202,"African Amer Behav Patterns",FT,"Liberal Arts & Sciences",2363,"Black Studies",3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Mock, Lynne",,,10
220101,AAST,"African American Studies",225,"Racial and Ethnic Groups",FT,"Liberal Arts & Sciences",2772,Sociology,4,10,4,1,2,0,0,0,0,0,0,0,0,0,0,3,"Grad Asst",,,24
220101,AAST,"African American Studies",242,"Modern Africa",FT,"Liberal Arts & Sciences",2316,History,0,11,5,1,1,0,0,0,0,0,0,0,0,0,0,1,"Hoppe, Kirk A",,,19
220101,AAST,"African American Studies",248,"African Amer Hist since 1877",FT,"Liberal Arts & Sciences",2363,"Black Studies",9,8,2,0,0,0,0,0,1,0,0,0,0,0,0,2,"Grad Asst",,,22
220101,AAST,"African American Studies",258,"Race and Urban Life",FT,"Liberal Arts & Sciences",2363,"Black Studies",13,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Spatz, David",,,30
220101,AAST,"African American Studies",263,"Afr Amer Intellectual History",FT,"Liberal Arts & Sciences",2363,"Black Studies",6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Clarke, Ainsworth A.",,,16
220101,AAST,"African American Studies",294,"Topics in Afr Amer Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Weiss Bambara, Celia",,,11
220101,AAST,"African American Studies",294,"Topics in Afr Amer Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Jabir, Johari",,,24
220101,AAST,"African American Studies",431,"Africa on Film",FT,"Liberal Arts & Sciences",2363,"Black Studies",3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,"Jackson, Lynette A.",,,12
220101,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,30,46,65,34,4,0,0,0,0,0,0,0,0,0,0,14,"Wen, Xiaoyan",,,193
220101,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,33,104,80,47,11,0,0,0,0,0,1,0,0,0,0,11,"Chalos, Peter",,,287
220101,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,12,16,46,13,3,0,0,0,0,0,0,0,0,0,0,6,"Leventhal, Brian W",,,96
220101,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,14,15,33,15,4,0,0,0,0,0,1,0,0,0,0,3,"Leventhal, Brian W",,,85
220101,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,23,40,36,5,1,0,0,0,1,0,0,0,0,0,0,6,"Lee, Sung-Han",,,112
220101,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,10,15,14,4,1,0,0,0,0,0,0,0,0,0,0,1,"Roe, George",,,45
220101,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,31,42,15,3,1,0,0,0,0,0,0,0,0,0,0,2,"Roe, Helen M",,,94
220101,ACTG,Accounting,417,"Adv Financial Accounting",FL,"Business Administration",2656,Accounting,6,14,10,6,0,0,0,0,0,0,0,0,0,0,0,5,"Salama, Yehia A.",,,41
220101,ACTG,Accounting,435,Auditing,FL,"Business Administration",2656,Accounting,15,43,21,2,0,0,0,0,0,0,0,0,0,0,0,4,"Galvan, Abel",,,85
220101,ACTG,Accounting,445,"Federal Income Tax I",FL,"Business Administration",2656,Accounting,11,21,21,1,0,0,0,0,0,0,1,0,0,0,0,2,"Melevin, Tim L",,,57
220101,ACTG,Accounting,446,"Federal Income Tax II",FL,"Business Administration",2656,Accounting,8,15,6,1,0,0,0,0,0,0,0,0,0,0,0,3,"Kemp, Robert E",,,33
220101,ACTG,Accounting,456,"Business Law II",FL,"Business Administration",2656,Accounting,3,5,8,1,0,0,0,0,0,0,0,0,0,0,0,2,"Roe, George",,,19
220101,ACTG,Accounting,456,"Business Law II",FL,"Business Administration",2656,Accounting,25,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Roe, Helen M",,,45
220101,ACTG,Accounting,465,"Govt & Non-Profit Actg",FL,"Business Administration",2656,Accounting,6,12,9,1,0,0,0,0,0,0,0,0,0,0,0,4,"Galvan, Abel",,,32
220101,ACTG,Accounting,474,"Actg Information Systems",FL,"Business Administration",2656,Accounting,18,49,13,0,0,0,0,0,0,0,0,0,0,0,0,7,"Popowits, Michael T",,,87
220101,ACTG,Accounting,475,"Database Accounting Systems",FL,"Business Administration",2656,Accounting,9,13,9,1,0,0,0,0,0,0,0,0,0,0,0,1,"Popowits, Michael T",,,33
220101,ACTG,Accounting,484,"International Accounting",FL,"Business Administration",2656,Accounting,16,18,5,0,0,0,0,0,0,0,0,0,0,0,0,2,"Salama, Yehia A.",,,41
220101,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leventhal, Brian W",,,14
220101,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,19,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,"Wen, Xiaoyan",,,46
220101,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pandit, Shailendra",,,44
220101,ACTG,Accounting,502,"Financial Accounting I",FL,"Business Administration",2656,Accounting,11,11,1,0,0,0,0,0,1,0,0,0,0,0,0,1,"Kirschenheiter, Michael",,,25
220101,ACTG,Accounting,503,"Financial Accounting II",FL,"Business Administration",2656,Accounting,8,9,4,1,0,0,0,0,2,0,0,0,0,0,0,3,"Salama, Yehia A.",,,27
220101,ACTG,Accounting,506,"Management Accounting",FL,"Business Administration",2656,Accounting,7,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Das, Somnath",,,34
220101,ACTG,Accounting,506,"Management Accounting",FL,"Business Administration",2656,Accounting,15,25,7,3,1,0,0,0,0,0,0,0,0,0,0,0,"Salama, Yehia A.",,,51
220101,ACTG,Accounting,508,"Federal Income Tax-Grad",FL,"Business Administration",2656,Accounting,2,12,9,0,0,0,0,1,0,0,0,0,0,0,0,1,"Khan, Feroze",,,25
220101,ACTG,Accounting,516,"Financial Statement Analysis",FL,"Business Administration",2656,Accounting,33,30,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Ramakrishnan, Ram T S",,,66
220101,ACTG,Accounting,537,"Fraud Examination",FL,"Business Administration",2656,Accounting,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Popowits, Michael T",,,36
220101,ACTG,Accounting,565,"Adv Govt & Nonprofit Actg",FL,"Business Administration",2656,Accounting,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kemp, Robert E",,,20
220101,ACTG,Accounting,570,"Ethics for Business Prof",FL,"Business Administration",2656,Accounting,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Roe, George",,,21
220101,ACTG,Accounting,585,"Corporate Valuation &Actg Info",FL,"Business Administration",2656,Accounting,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Kirschenheiter, Michael",,,32
220101,ACTG,Accounting,593,"Actg Res Method&Communicatn",FL,"Business Administration",2656,Accounting,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ramakrishnan, Ram T S",,,15
220101,ACTG,Accounting,594,"Advanced Financial Accounting",FL,"Business Administration",2656,Accounting,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Galvan, Abel",,,11
220101,ACTG,Accounting,594,"Special Topics Actg-Grad",FL,"Business Administration",2656,Accounting,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Khan, Feroze",,,13
220101,AD,"Art and Design",102,"Drawing I: Beginning",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",57,14,1,2,3,0,0,0,0,0,0,0,0,0,0,3,"Grad Asst",,,80
220101,AD,"Art and Design",110,"Graphic Design I",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",11,4,2,0,0,0,0,0,1,0,0,0,0,0,0,2,"Leithauser, Anna Lanier",,,20
220101,AD,"Art and Design",110,"Graphic Design I",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",24,17,7,1,3,0,0,0,1,0,1,0,0,0,0,1,"Grad Asst",,,55
220101,AD,"Art and Design",120,"Industrial Design I",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",19,8,8,2,0,0,0,0,1,0,0,0,0,0,0,1,"Andersen, Michael Anthony",,,39
220101,AD,"Art and Design",120,"Industrial Design I",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",19,16,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,38
220101,AD,"Art and Design",140,"Sculpture I: Beginning",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",7,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,"Frid, Dianna",,,20
220101,AD,"Art and Design",140,"Sculpture I: Beginning",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",41,11,1,1,2,0,0,1,0,0,0,0,0,0,0,1,"Grad Asst",,,58
220101,AD,"Art and Design",160,"Photography I",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",15,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Malagrino, Silvia A",,,20
220101,AD,"Art and Design",160,"Photography I",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",40,16,1,2,1,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,61
220101,AD,"Art and Design",170,"Intro-Time-Based Vis Art",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",13,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Reeder, Jennifer K",,,20
220101,AD,"Art and Design",170,"Intro-Time-Based Vis Art",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",42,11,3,0,2,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,59
220101,AD,"Art and Design",203,"Topics in Drawing",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Fish, Julia Anne",,,10
220101,AD,"Art and Design",203,"Topics in Drawing",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Frid, Dianna",,,11
220101,AD,"Art and Design",205,"Intro Computer Graphics",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",9,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2,"Tsoupikova, Daria",,,23
220101,AD,"Art and Design",205,"Intro Computer Graphics",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Roeger, Oliver L.",,,21
220101,AD,"Art and Design",206,"Computer Graphics",FR,"Architecture,Design,& the Arts",2702,"School of Art and Design",11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Tsoupikova, Daria",,,19
