TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220161,AAST,"African American Studies",100,"Intro African American Studies",FT,"Liberal Arts & Sciences",2363,"Black Studies",11,28,15,3,5,0,0,0,0,0,0,0,0,0,0,1,"Johnson, Cedric",,,63
220161,AAST,"African American Studies",103,"African Amer Politics&Culture",FT,"Liberal Arts & Sciences",2363,"Black Studies",6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"Grad Asst",,,16
220161,AAST,"African American Studies",111,"Intro Af Amer Lit Since 1910",FT,"Liberal Arts & Sciences",2363,"Black Studies",11,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,"Jun, Helen Heran",,,21
220161,AAST,"African American Studies",125,"AfAm Religious Traditions",FT,"Liberal Arts & Sciences",2363,"Black Studies",1,16,6,2,0,0,0,2,0,0,0,0,0,0,0,3,"Jabir, Johari",,,30
220161,AAST,"African American Studies",203,"African Amer Family in U.S.",FT,"Liberal Arts & Sciences",2363,"Black Studies",10,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"James, Kevin Lamarr",,,15
220161,AAST,"African American Studies",242,"Modern Africa",FT,"Liberal Arts & Sciences",2316,History,4,7,4,2,1,0,0,0,0,0,0,0,0,0,0,1,"Hoppe, Kirk A",,,19
220161,AAST,"African American Studies",248,"African Amer Hist since 1877",FT,"Liberal Arts & Sciences",2363,"Black Studies",3,8,3,2,0,0,0,0,1,0,0,0,0,0,0,0,"Jabir, Johari",,,17
220161,AAST,"African American Studies",263,"Afr Amer Intellectual History",FT,"Liberal Arts & Sciences",2363,"Black Studies",12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clarke, Ainsworth A.",,,18
220161,AAST,"African American Studies",266,"African Literature",FT,"Liberal Arts & Sciences",2363,"Black Studies",4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,"Brown, Nicholas Mainey",,,10
220161,AAST,"African American Studies",272,"Race, Gender, and Sexuality",FT,"Liberal Arts & Sciences",2363,"Black Studies",8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ferguson, Roderick A",,,14
220161,AAST,"African American Studies",294,"Blacks & Politics of Prison",FT,"Liberal Arts & Sciences",2363,"Black Studies",15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Richie, Beth E",,,21
220161,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,4,28,15,16,6,0,0,0,1,0,0,0,0,0,0,4,"Thomas, Barbara Ann",,,74
220161,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,28,42,49,16,11,0,0,0,0,0,0,0,0,0,0,22,"Galvan, Abel",,,168
220161,ACTG,Accounting,211,"Intr Man Actg for Bus Scholars",FL,"Business Administration",2656,Accounting,11,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Martin, Melissa",,,33
220161,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,9,16,19,14,11,0,0,0,0,0,0,0,0,0,0,6,"Thomas, Barbara Ann",,,75
220161,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,41,70,84,35,10,0,0,0,0,0,0,0,0,0,0,3,"Jastrzebski, Ronald J",,,243
220161,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,7,7,24,9,10,0,0,0,0,0,1,0,0,0,0,3,"Leventhal, Brian W",,,61
220161,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,12,32,37,16,3,0,0,0,0,0,0,0,0,0,0,3,"Salama, Yehia A.",,,103
220161,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,18,40,27,6,0,0,0,0,0,0,0,0,0,0,0,3,"Martin, Melissa",,,94
220161,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,22,39,11,2,1,0,0,0,0,0,0,0,0,0,0,0,"Marutzky, Eileen",,,75
220161,ACTG,Accounting,417,"Adv Financial Accounting",FL,"Business Administration",2656,Accounting,5,4,3,2,1,0,0,0,0,0,0,0,0,0,0,1,"Chen, Gary",,,16
220161,ACTG,Accounting,435,Auditing,FL,"Business Administration",2656,Accounting,10,33,26,0,0,0,0,0,0,0,0,0,0,0,0,1,"Galvan, Abel",,,70
220161,ACTG,Accounting,445,"Federal Income Tax I",FL,"Business Administration",2656,Accounting,28,28,24,2,2,0,0,0,0,0,0,0,0,0,0,1,"Kolpien, Jennifer E",,,85
220161,ACTG,Accounting,446,"Federal Income Tax II",FL,"Business Administration",2656,Accounting,6,10,6,0,1,0,0,0,0,0,0,0,0,0,0,1,"Keesee, Timothy C",,,24
220161,ACTG,Accounting,465,"Govt & Non-Profit Actg",FL,"Business Administration",2656,Accounting,5,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kemp, Robert E",,,21
220161,ACTG,Accounting,470,"Ethical Environment Business",FL,"Business Administration",2656,Accounting,3,8,5,2,2,0,0,0,0,0,0,0,0,0,0,0,"Scully, George",,,20
220161,ACTG,Accounting,470,"Ethical Environment Business",FL,"Business Administration",2656,Accounting,38,21,20,10,1,0,0,0,0,0,0,0,0,0,0,1,"Roe, George",,,91
220161,ACTG,Accounting,474,"Actg Information Systems",FL,"Business Administration",2656,Accounting,25,24,5,1,1,0,0,0,0,0,0,0,0,0,0,3,"Jastrzebski, Ronald J",,,59
220161,ACTG,Accounting,475,"Database Accounting Systems",FL,"Business Administration",2656,Accounting,11,11,4,2,2,0,0,0,0,0,0,0,0,0,0,0,"Popowits, Michael T",,,30
220161,ACTG,Accounting,484,"International Accounting",FL,"Business Administration",2656,Accounting,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"Salama, Yehia A.",,,13
