TERM_CD,CRS_SUBJ_CD,CRS_SUBJ_DESC,CRS_NBR,CRS_TITLE,COLL_CD,COLL_NAME,DEPT_CD,DEPT_NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,name1,name2,name3,grade_regs
220125,AAST,"African American Studies",105,"African Americans in Film",FT,"Liberal Arts & Sciences",2363,"Black Studies",3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Blair, Cynthia M",,,11
220125,ACTG,Accounting,210,"Intro Financial Accounting",FL,"Business Administration",2656,Accounting,10,12,11,7,2,0,0,1,1,0,0,0,0,0,0,1,"Galvan, Abel",,,45
220125,ACTG,Accounting,211,"Intro Managerial Accounting",FL,"Business Administration",2656,Accounting,9,16,11,3,1,0,0,0,0,0,1,0,0,0,0,0,"Maksy, Mostafa",,,41
220125,ACTG,Accounting,315,"Intermediate Financial Actg I",FL,"Business Administration",2656,Accounting,5,8,15,4,8,0,0,0,1,0,0,0,0,0,0,1,"Leventhal, Brian W",,,42
220125,ACTG,Accounting,316,"Intermediate Financial Actg II",FL,"Business Administration",2656,Accounting,4,13,15,7,0,0,0,0,0,0,0,0,0,0,0,0,"Salama, Yehia A.",,,39
220125,ACTG,Accounting,326,"Cost Accounting",FL,"Business Administration",2656,Accounting,6,9,15,1,0,0,0,0,0,0,0,0,0,0,0,1,"Salama, Yehia A.",,,32
220125,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,8,8,4,3,2,0,0,0,0,0,0,0,0,0,0,0,"Roe, Helen M",,,25
220125,ACTG,Accounting,355,"Business Law I",FL,"Business Administration",2656,Accounting,30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,36
220125,ACTG,Accounting,435,Auditing,FL,"Business Administration",2656,Accounting,6,16,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"Galvan, Abel",,,27
220125,ACTG,Accounting,445,"Federal Income Tax I",FL,"Business Administration",2656,Accounting,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,1,"Urban, Andrea",,,21
220125,ACTG,Accounting,474,"Actg Information Systems",FL,"Business Administration",2656,Accounting,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Goodman, Charles Joseph",,,12
220125,ACTG,Accounting,500,"Intro Financial Actg",FL,"Business Administration",2656,Accounting,20,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Goodman, Charles Joseph",,,26
220125,ACTG,Accounting,506,"Management Accounting",FL,"Business Administration",2656,Accounting,26,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Maksy, Mostafa",,,34
220125,ACTG,Accounting,516,"Financial Statement Analysis",FL,"Business Administration",2656,Accounting,8,6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,"Ramakrishnan, Ram T S",,,17
220125,AH,"Art History",100,"Intro to Art &Art History",FR,"Architecture,Design,& the Arts",2910,"Art History",5,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,15
220125,AH,"Art History",208,"Topics Modern Arch, Art&Design",FR,"Architecture,Design,& the Arts",2910,"Art History",5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,10
220125,AH,"Art History",208,"Topics Modern Arch, Art&Design",FR,"Architecture,Design,& the Arts",2910,"Art History",7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Robbins, Christa N",,,10
220125,AH,"Art History",424,"Architecture in Chicago",FR,"Architecture,Design,& the Arts",2910,"Art History",2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Mekinda, Jonathan",,,10
220125,AHS,"Applied Health Sciences",594,"Spec Topics in AHS",GF,"Applied Health Sciences",2797,"Applied Health Sciences Admin",13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,"Coumbe'Lilley, John Edward",,,18
220125,ANTH,Anthropology,100,"Human Adventure",FT,"Liberal Arts & Sciences",2841,Anthropology,8,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,"Keeley, Lawrence H",,,26
220125,ANTH,Anthropology,101,"World Cultures",FT,"Liberal Arts & Sciences",2841,Anthropology,15,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Grad Asst",,,34
220125,ANTH,Anthropology,102,"Intro to Archaeology",FT,"Liberal Arts & Sciences",2841,Anthropology,6,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,"Grad Asst",,,21
220125,ANTH,Anthropology,105,"Human Evolution",FT,"Liberal Arts & Sciences",2841,Anthropology,18,16,3,0,2,0,0,0,0,0,0,0,0,0,0,0,"Grad Asst",,,39
220125,ANTH,Anthropology,272,"North American Indians",FT,"Liberal Arts & Sciences",2841,Anthropology,5,6,2,1,0,0,0,0,0,0,1,0,0,0,0,0,"Grad Asst",,,15
220125,BA,"Business Administration",200,"Managerial Communication",FL,"Business Administration",2785,"Business Administration Admini",4,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"Kohler, William Russell",,,13
220125,BA,"Business Administration",289,"Business Internship Program",FL,"Business Administration",2785,"Business Administration Admini",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,"Anderson, John D",,,19
220125,BA,"Business Administration",589,"Corporate Bus Intern Program",FL,"Business Administration",2785,"Business Administration Admini",0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,"Brown, James Wesley",,,42
220125,BCMG,"Biochem & Molecular Genetics",599,"PhD Thesis Research",FZ,"Coll Medicine at Chicago - BS",2509,"Biochem & Molecular Genetics",0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,"Katzen, Alisa L","Caffrey, Michael S",,36
220125,BHIS,"Biomedical &Hlth Info Sciences",405,"Med Sci & Humn Pathophysiology",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,2,"Wencel-Drake, June D","Patena, Karen R",,16
220125,BHIS,"Biomedical &Hlth Info Sciences",406,"Medical Terminology for HIM",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Wencel-Drake, June D","Patena, Karen R",,31
220125,BHIS,"Biomedical &Hlth Info Sciences",437,"Health Care Data",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",18,7,1,1,2,0,0,0,1,0,0,0,0,0,0,0,"Orzechowski, John Stanley",,,30
220125,BHIS,"Biomedical &Hlth Info Sciences",460,"Intro to Hlth Informatics",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Swirsky, Eric S",,,18
220125,BHIS,"Biomedical &Hlth Info Sciences",499,"Info Sources in BHIS",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Wencel-Drake, June D",,,41
220125,BHIS,"Biomedical &Hlth Info Sciences",503,"Comm Skills in HI",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Swirsky, Eric S",,,15
220125,BHIS,"Biomedical &Hlth Info Sciences",509,"Infrmtcs for Clin Investigator",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Boyd, Andrew",,,27
220125,BHIS,"Biomedical &Hlth Info Sciences",510,"Health Care Info Systems",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",20,19,3,1,0,0,0,0,0,0,0,0,0,0,0,1,"Bimmerle, Cathleen",,,44
220125,BHIS,"Biomedical &Hlth Info Sciences",517,"Health Care Info Security",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",41,7,1,0,1,0,0,0,1,0,0,0,0,0,0,1,"Stevenson, Greer W.P.",,,52
220125,BHIS,"Biomedical &Hlth Info Sciences",528,"Consumer Hlth Informatics",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",35,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"Dieter, Michael G",,,39
220125,BHIS,"Biomedical &Hlth Info Sciences",538,"Health Care IT Admin",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",31,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Pawola, Lawrence M.",,,40
220125,BHIS,"Biomedical &Hlth Info Sciences",595,"BHIS Seminar",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,"Wencel-Drake, June D","Daugherty, John M",,17
220125,BIOE,Bioengineering,480,"Intro to Bioinformatics",FQ,Engineering,2437,Bioengineering-Engineering,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Lu, Hui",,,10
220125,BIOE,Bioengineering,594,"Advanced Special Topics",FQ,Engineering,2437,Bioengineering-Engineering,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Linninger, Andreas A",,,11
220125,BIOS,"Biological Sciences",100,"Biol of Cells & Organisms",FT,"Liberal Arts & Sciences",2453,"Biological Sciences",23,43,28,9,4,0,0,0,0,0,0,0,0,0,0,2,"Muller, Michael T",,,109
220125,BIOS,"Biological Sciences",101,"Populations & Communities",FT,"Liberal Arts & Sciences",2453,"Biological Sciences",0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,1,"Molumby, Alan J",,,48
220125,BIOS,"Biological Sciences",220,Genetics,FT,"Liberal Arts & Sciences",2453,"Biological Sciences",12,16,24,3,2,0,0,0,0,0,0,0,0,0,0,3,"Nichols, Brian P",,,60
220125,BIOS,"Biological Sciences",221,"Genetics Lab",FT,"Liberal Arts & Sciences",2453,"Biological Sciences",12,13,9,1,0,0,0,0,0,0,1,0,0,0,0,2,"Grad Asst",,,38
220125,BIOS,"Biological Sciences",222,"Cell Biology",FT,"Liberal Arts & Sciences",2453,"Biological Sciences",12,24,13,2,1,0,0,0,1,0,0,0,0,0,0,1,"Dubreuil, Ronald R.","Grad Asst",,54
220125,BIOS,"Biological Sciences",230,"Ecology and Evolution",FT,"Liberal Arts & Sciences",2453,"Biological Sciences",7,8,7,1,4,0,0,0,0,0,0,0,0,0,0,2,"Nelson, Karin Noel","Grad Asst",,29
220125,BIOS,"Biological Sciences",240,Homeostasis,FT,"Liberal Arts & Sciences",2453,"Biological Sciences",23,35,29,6,0,0,0,0,0,0,0,0,0,0,0,10,"Malchow, Robert Paul","Gonzalez-Meler, Miquel Angel","Grad Asst",103
220125,BIOS,"Biological Sciences",331,"Ecology Laboratory",FT,"Liberal Arts & Sciences",2453,"Biological Sciences",8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"Brown, Joel S","Grad Asst",,15
220125,BIOS,"Biological Sciences",331,"Ecology Laboratory",FT,"Liberal Arts & Sciences",2453,"Biological Sciences",12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,24
220125,BIOS,"Biological Sciences",350,"General Microbiology",FT,"Liberal Arts & Sciences",2453,"Biological Sciences",16,19,18,7,5,0,0,0,0,0,0,0,0,0,0,5,"Gibbons, Sandra Helen","Grad Asst","Grad Asst",70
220125,BIOS,"Biological Sciences",351,"Microbiology Laboratory",FT,"Liberal Arts & Sciences",2453,"Biological Sciences",11,21,13,2,1,0,0,0,0,0,0,0,0,0,0,1,"Grad Asst",,,49
220125,BMS,"Basic Medical Sciences",609,"Medical Scholars Program",GD,"College of Medicine at Urbana",2761,"Administration & Gen Exp",0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,1,"Instructor, Missing",,,78
220125,BVIS,"Biomedical Visualization",502,"Clin Sciences for BVIS",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Daugherty, John M",,,16
220125,BVIS,"Biomedical Visualization",520,"Adv Imaging Applications",GF,"Applied Health Sciences",2318,"Biomed & Health Info Sciences",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Klein, Leah Amanda","Daugherty, John M",,16
